Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Cameroon,33414647780,32142017714,31145614133,28675123285,29266806488,30475048824,31971964798,33671005671,35319322455,36754091816,38288053621,40016480155,41620758680,43298488681,44901335539,45932653147,47413523255,48957148497,50369095294,51342150959,53020345598,55215701705,57749405978
"Congo, Rep.",12544967571,12845465641,13180982531,13051850658,12334902615,12826488496,13376806620,13293226707,13790068070,13433981021,14451736789,15001278806,15688617909,15816207802,16366079084,17635392732,18735135296,18438703723,19466157004,20920060529,22750912219,23529134761,24423240907
Colombia,258000000000,264000000000,277000000000,284000000000,300000000000,316000000000,323000000000,334000000000,336000000000,321000000000,336000000000,341000000000,350000000000,364000000000,383000000000,401000000000,428000000000,457000000000,474000000000,481000000000,501000000000,534000000000,555000000000
Comoros,658530458,622998796,676146346,696470883,659720329,683537087,674708054,701901087,710904109,724582783,734856300,821923888,841031804,858727970,875212133,900045470,923875040,931263610,934988664,953220942,974191803,999520791,1029506414
Cabo Verde,566468254,574422300,637250585,692744350,825631018,942966695,1049960644,1166699742,1312738881,1460062952,1668631030,1705869109,1795442441,1870424773,2061153345,2203629704,2379562000,2740557926,2922819294,2885687690,2928018210,3044224922,3077160949
Costa Rica,22573586959,23154161551,25273234162,27146911010,28430851706,29545594005,29807539949,31470260088,34113084646,36917930926,37582758108,37987297532,39089759217,41593267062,43364912629,45917535008,49948929719,53912547375,55385233529,54822675266,57538766320,60138221906,63245914305
Caribbean small states,52183855442,53468647456,53626746440,55194470583,56769891372,58387494309,59858108684,61133969599,62774717043,64780877621,66826464864,68340345343,71753514060,77557012997,82085023659,85782071653,94440224878,97722397144,99320871361,95868189515,96150587331,96691937221,98199853657
Cuba,145000000000,129000000000,114000000000,97406949806,98105289487,101000000000,108000000000,111000000000,112000000000,118000000000,126000000000,130000000000,131000000000,136000000000,144000000000,160000000000,180000000000,193000000000,201000000000,204000000000,208000000000,214000000000,221000000000
Cyprus,13802989449,13905062697,15212138504,15318623456,16222422211,17211990056,17491688061,17911918988,18823930372,19706035701,20824034035,21568713296,22263356623,22884102802,23886288971,24809042460,25929624492,27198422994,28183200440,27607643651,27991567707,28064704944,27395493314
Czech Republic,205000000000,181000000000,180000000000,180000000000,186000000000,197000000000,206000000000,204000000000,204000000000,207000000000,215000000000,222000000000,226000000000,234000000000,245000000000,261000000000,279000000000,294000000000,302000000000,288000000000,294000000000,300000000000,298000000000
Germany,2500000000000,2630000000000,2680000000000,2650000000000,2720000000000,2760000000000,2790000000000,2840000000000,2890000000000,2950000000000,3040000000000,3090000000000,3090000000000,3070000000000,3100000000000,3130000000000,3240000000000,3350000000000,3380000000000,3190000000000,3320000000000,3440000000000,3450000000000
Djibouti,1799101128,1722142478,1721833061,1607832538,1592761641,1537201953,1473938426,1462944729,1464398582,1496307918,1502535761,1533304153,1573454679,1623804588,1685939083,1739376627,1822864352,1915831553,2026949067,2128286449,2222999303,2342710799,2413074035
Dominica,472419313,475291296,485022205,493175157,500234098,510112316,523588376,531394126,557847388,561659131,563767099,566434298,556503797,599283430,618761005,618214996,648401275,687643438,738960112,730507954,738356387,737752661,727489326
Denmark,171000000000,173000000000,177000000000,176000000000,186000000000,192000000000,197000000000,204000000000,208000000000,215000000000,223000000000,224000000000,226000000000,226000000000,232000000000,238000000000,247000000000,249000000000,247000000000,235000000000,239000000000,241000000000,240000000000
Dominican Republic,38240403936,38601446461,42659686778,45740834428,46794363123,49365071966,52885476594,57118575275,61122928816,65227549917,68917214686,70164085257,74225327973,74037271566,75008609636,81956469681,90702171462,98388840161,101000000000,102000000000,111000000000,114000000000,117000000000
Algeria,265000000000,262000000000,267000000000,261000000000,259000000000,269000000000,280000000000,283000000000,297000000000,307000000000,314000000000,328000000000,346000000000,371000000000,387000000000,410000000000,417000000000,431000000000,440000000000,447000000000,463000000000,476000000000,492000000000
