"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Belarus","BLR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82363834285.7187","81375468274.2908","73563423319.9586","67972603147.6417","60019808579.3676","53777748487.1134","55283525444.7526","61585847345.4544","66759058522.4725","69028866512.2366","73032540769.9463","76483551805.4747","80342351448.0742","86001018060.3157","95847913542.83","104857617415.856","115343379157.442","125262909765.141","138039726561.309","138315806014.492","149022529944.618","157283909016.623","160007108813.136","161724946415.46","164292817733.271","",
"Belize","BLZ","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","968868728.86802","1070571291.04961","1199422659.80994","1274705187.5882","1276718440.11876","1284940169.53385","1303298400.96399","1349502660.33019","1399986969.20065","1522911025.4161","1721479771.42345","1807823395.35499","1900357910.46917","2077647026.18111","2174217873.66041","2230269401.96822","2332451433.13959","2358238692.61078","2434388609.27347","2451751903.75782","2533244977.32671","2586543205.39028","2685471985.1572","2726443567.20319","","",
"Bermuda","BMU","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2405862615.04608","2320830206.06248","2319443808.08995","2389225839.37538","2403551951.75845","2509287755.91646","2574541182.92306","2692970077.33757","2797995910.35374","2892642283.03342","3162154264.8163","3390538833.08688","3340433776.56587","3454366158.62813","3534551202.2428","3593726911.16702","3792958312.94401","3900901738.61185","3960503378.69618","3751223364.15495","3672668487.99025","3550019929.12843","3378392789.57695","3293556129.34525","","",
"Bolivia","BOL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25409689667.9222","26747896582.913","27188300711.1593","28349049564.6074","29672175192.1081","31060321711.2287","32414968042.7059","34020873234.2626","35731903599.5458","35884437866.1403","36784351741.9749","37403726301.3187","38333420535.9039","39372769835.9186","41015911891.732","42829402996.3414","44883933256.6871","46932608445.5095","49818258878.2861","51490657616.7566","53615534216.911","56389564652.0397","59308531545.0776","63327041007.1504","66746122050.9266","",
"Brazil","BRA","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1546021202892.98","1569396073165.35","1562068355585.65","1634941484093.95","1722158282868.13","1798221387711.1","1837603504842.95","1899866657041.72","1906608256854.46","1915958703859.09","1999935643882.38","2025515314057.94","2087733572132","2113270842328.61","2232896205527.41","2303207875114.29","2395320626795.69","2539178836761.49","2666628246724.87","2660335587992.87","2861777985270.14","2973856148557.23","3026270030254.39","3109301699679.4","3113801087901.52","",
"Barbados","BRB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3369411705.34316","3271292642.36635","3108421674.9355","3139145898.58261","3263921179.8459","3312557947.4716","3373310774.30655","3589024793.07643","3736618539.75193","3833496216.21764","3921666629.19064","3821656900.52732","3847362212.31243","3923273211.17715","3979503580.70691","4138555197.37613","4374722908.46342","4447822192.35541","4463084810.89557","4278327805.47666","4289172097.63841","4321705634.85739","4322107030.59163","3662447003.9662","3670045441.73377","",
"Brunei Darussalam","BRN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19803145735.6828","20426141044.1256","21398135469.5353","21463308476.831","22138414819.4361","23129929595.5671","23795682516.4","23445607162.3986","23314661407.1961","24026261404.698","24710870925.094","25388947309.3154","26372032039.7007","27137864017.8508","27274725255.2175","27380416699.9815","28584530804.8808","28628717190.005","28073401809.3891","27578036605.3473","28294780375.7683","29265239981.1196","29542778248.765","29025200429.4985","30563536052.2619","",
"Bhutan","BTN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1249305959.57901","1244210339.29313","1301455106.18781","1327306775.60057","1393028419.3093","1491572883.40635","1574581492.73243","1659196959.50421","1757322379.29636","1897626506.3928","2029189412.06141","2195659522.64461","2431206376.61147","2617542154.5688","2771883124.6013","2969312153.57852","3172691208.63935","3741422280.73992","3919826548.16105","4180778173.88848","4671219172.59607","5039821055.27253","5295426154.38932","5403693318.25496","5741758308.55906","",
"Botswana","BWA","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11175483587.7952","12009030400.5038","12359342260.4665","12596160500.1866","13053138624.996","13970827822.2371","14785299153.5742","15972048438.8361","16087365535.2985","17642569890.5628","17993250520.885","18038336904.4643","19133179330.8915","20018260077.087","20559918509.5491","21496761143.4648","23207802524.2199","25222783000.6243","26798022184.0688","24747391817.4637","26866574611.4988","28491612612.0636","29868152674.3019","32652591560.8933","34096183470.0942","",
"Central African Republic","CAF","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2749151238.77678","2733964187.20161","2558331747.2868","2566905888.70857","2692684253.85797","2886557582.52859","2771095240.23192","2917963361.08082","3055107459.91592","3165091418.16261","3086298046.70422","3224094546.15417","3340693539.05893","3160380633.06576","3349845190.40398","3380264669.00163","3503283019.46974","3664698956.03648","3739976510.70508","3803900973.39253","3919792783.02502","4049174939.83364","4215707633.81583","2696068179.01855","2723307341.17344","",
