Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Fiji,4146869696,4034904163,4281033346,4372220689,4595203939,4710084009,4936168042,4827572340,4890330893,5320679947,5230228428,5334832936,5505547622,5560603041,5855315058,5896302261,6005530227,5954443967,6015941124,5932557924,6107845621,6273071487,6387893572
France,1.72E+12,1.74E+12,1.77E+12,1.76E+12,1.80E+12,1.84E+12,1.86E+12,1.90E+12,1.97E+12,2.04E+12,2.12E+12,2.16E+12,2.18E+12,2.20E+12,2.26E+12,2.30E+12,2.35E+12,2.41E+12,2.41E+12,2.34E+12,2.39E+12,2.44E+12,2.44E+12
"Micronesia, Fed. Sts.",266167849.6,285937044,297397446.6,321607547,319888486.6,342549427.1,331890823,311759193.3,320973930,325415409,340264795.9,346209879.7,348286791.2,354646025.3,343186482.3,350601219.5,350028342.6,342818889.8,334043946.1,337257299.7,345791861.5,352882555.8,354412949.4
Gabon,18326036389,19446214983,18845300368,19589039118,20316331381,21326836730,22099941639,23368120633,24180824272,22020840148,21606199107,22066772755,22011819171,22506497389,22661689380,23545655136,22689855940,24161660694,23429516058,23149331956,24871978645,26445503309,28165145005
United Kingdom,1.51E+12,1.49E+12,1.50E+12,1.54E+12,1.60E+12,1.64E+12,1.69E+12,1.73E+12,1.79E+12,1.85E+12,1.92E+12,1.97E+12,2.02E+12,2.10E+12,2.15E+12,2.21E+12,2.28E+12,2.34E+12,2.33E+12,2.23E+12,2.27E+12,2.31E+12,2.33E+12
Georgia,38503868499,30379552028,16739133195,11834566923,10603772759,10879470344,12097971315,13370561836,13785704868,14181252096,14441951979,15135953069,15964470632,17729838097,18768333183,20570025753,22500168104,25277588828,25862524222,24886013613,26442143168,28345977228,30098358799
Ghana,28080358687,29563514455,30710407126,32199862045,33262457361,34630348991,36224197313,37744294161,39518423484,41257232876,42783750540,44495100561,46497379953,48915243703,51654497345,54702114730,58203002164,61962678174,67186527239,69502175404,74992666759,85526138706,93473665297
Guinea,6789712120,6967156019,7195048021,7557976643,7858035806,8220108416,8586854725,9031791486,9360920919,9717759602,9961001010,10325408939,10858675986,10994257551,11251536075,11588775279,11878115542,12086895083,12683616959,12648078443,12892972742,13396928290,13925318145
"Gambia, The",1390765214,1433976835,1482426452,1527078635,1529435624,1542922924,1577230518,1654514799,1712422793,1822017840,1922228824,2033718101,1967622256,2102797901,2251045152,2229847602,2254913312,2336789790,2470796318,2630155165,2801763127,2680483729,2837619802
Guinea-Bissau,1591429085,1672591969,1690990480,1726501280,1781749322,1860146292,2075923262,2210858274,1589607547,1605909567,1693062076,1730121628,1713076858,1722815874,1770389746,1845904397,1888540176,1949061631,2011527312,2078197528,2170303693,2366252938,2313406997
