Country,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,103963,104807,105711,106577,107317,107817,108093,108355,108535,108596,108639,108386,108208,108085,107950,107863,107700,107423,107091,106707,106267,105784,105275
Vietnam,VNM,"Population, total",SP.POP.TOTL,66016700,67242400,68450100,69644500,70824500,71995500,73156700,74306900,75456300,76596700,77630900,78620500,79537700,80467400,81436400,82392100,83311200,84218500,85118700,86025000,86932500,87840000,88772900
Vanuatu,VUT,"Population, total",SP.POP.TOTL,146633,150779,155242,159814,164209,168236,171802,175004,178074,181346,185058,189288,193957,198963,204144,209375,214635,219956,225335,230782,236299,241876,247498
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,1978248,2068845,2163591,2262676,2366298,2474666,2587997,2706518,2776568,2848431,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3596688,3702218,3811102,3927051,4046901
World,WLD,"Population, total",SP.POP.TOTL,5282721170,5369745939,5453285242,5537593883,5621017729,5705792188,5788637414,5871749849,5954028861,6035482136,6115968870,6195680531,6274932299,6354329500,6434262465,6514587292,6595419917,6676488746,6758911727,6841535692,6924248512,7007432419,7089269165
Samoa,WSM,"Population, total",SP.POP.TOTL,162865,164073,165568,167206,168786,170158,171276,172191,172979,173758,174614,175567,176592,177677,178794,179928,181072,182238,183440,184700,186029,187434,188901
Yemen,YEM,"Population, total",SP.POP.TOTL,11961099,12571240,13245003,13948118,14633091,15266147,15834747,16349809,16829935,17304422,17795219,18306287,18832097,19374012,19931617,20504385,21093973,21701105,22322699,22954226,23591972,24234940,24882792
South Africa,ZAF,"Population, total",SP.POP.TOTL,35200000,35933108,36690739,37473796,38283223,39120000,40000247,40926063,41899683,42923485,44000000,44909738,45546345,46127031,46727694,47349013,47991699,48656506,49344228,50055701,50791808,51553479,52341695
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,34962676,36309209,37783835,39314955,40804011,42183620,43424997,44558347,45647949,46788238,48048664,49449015,50971407,52602208,54314855,56089536,57926840,59834875,61809278,63845097,65938712,68087376,70291160
Zambia,ZMB,"Population, total",SP.POP.TOTL,8143142,8361381,8576987,8794061,9018229,9253527,9502346,9763742,10034412,10309310,10585220,10861238,11139978,11426006,11725635,12043591,12381509,12738676,13114579,13507849,13917439,14343526,14786581
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,10484771,10763036,11019717,11256512,11476807,11683136,11877664,12059858,12226742,12374019,12499981,12603988,12691431,12774162,12867828,12984418,13127942,13297798,13495462,13720997,13973897,14255592,14565482
